"70th"	"80th"	"90th"	"95th"	"99th"	"OLS"
""	"base_damage_60"	"base_damage_60"	"base_damage_60"	"base_damage_60"	"base_damage_60"	"base_damage_60"
"(Intercept)"	"0.466**"	"6.679***"	"20.755*"	"37.818"	"94.15"	"-38.368"
""	"0.216"	"2.257"	"11.135"	"39.125"	"102.968"	"56.267"
"index"	"-0.016***"	"-0.137***"	"1.226***"	"4.797***"	"26.385***"	"2.536*"
""	"0.005"	"0.045"	"0.405"	"1.303"	"6.813"	"1.472"
"cgdpo"	"0.023***"	"0.062***"	"0.148***"	"0.298***"	"1.251***"	"0.076***"
""	"0.002"	"0.007"	"0.015"	"0.042"	"0.27"	"0.005"
"r1"	"0.026"	"0.057"	"0.111"	"0.155"	"0.265"	"0.027"
""	"base_damage_70"	"base_damage_70"	"base_damage_70"	"base_damage_70"	"base_damage_70"	"base_damage_70"
"(Intercept)"	"0.335*"	"8.962***"	"60.114***"	"191.829***"	"431.572***"	"-17.857"
""	"0.198"	"3.257"	"16.95"	"63.817"	"154.949"	"52.669"
"index"	"-0.018***"	"-0.233***"	"0.262"	"1.402"	"22.933**"	"2.677"
""	"0.006"	"0.078"	"0.642"	"2.185"	"9.029"	"1.766"
"cgdpo"	"0.023***"	"0.062***"	"0.149***"	"0.301***"	"1.255***"	"0.076***"
""	"0.002"	"0.007"	"0.016"	"0.044"	"0.268"	"0.005"
"r1"	"0.026"	"0.057"	"0.107"	"0.149"	"0.257"	"0.027"
""	"base_damage_80"	"base_damage_80"	"base_damage_80"	"base_damage_80"	"base_damage_80"	"base_damage_80"
"(Intercept)"	"0.159"	"10.225**"	"87.104***"	"248.78***"	"788.962***"	"0.213"
""	"0.133"	"4.246"	"17.707"	"53.398"	"287.865"	"50.14"
"index"	"-0.018***"	"-0.349***"	"-0.8"	"-0.527"	"17.551"	"3.025"
""	"0.005"	"0.131"	"0.926"	"2.415"	"13.568"	"2.284"
"cgdpo"	"0.023***"	"0.061***"	"0.15***"	"0.301***"	"1.253***"	"0.076***"
""	"0.002"	"0.007"	"0.016"	"0.044"	"0.271"	"0.005"
"r1"	"0.026"	"0.056"	"0.104"	"0.143"	"0.247"	"0.026"
""	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"
"(Intercept)"	"1.354***"	"11.704***"	"26.877**"	"43.557"	"93.663"	"-27.428"
""	"0.504"	"3.568"	"13.696"	"41.899"	"111.152"	"56.557"
"index"	"-0.029***"	"-0.202***"	"1.104**"	"4.815***"	"25.624***"	"2.54*"
""	"0.01"	"0.075"	"0.446"	"1.381"	"6.819"	"1.472"
"cgdpo"	"0.025***"	"0.069***"	"0.159***"	"0.316***"	"1.163***"	"0.081***"
""	"0.003"	"0.007"	"0.019"	"0.051"	"0.346"	"0.006"
"pop"	"-0.029***"	"-0.083***"	"-0.091"	"-0.205"	"0.796"	"-0.114*"
""	"0.004"	"0.012"	"0.068"	"0.18"	"1.656"	"0.061"
"r1"	"0.027"	"0.059"	"0.111"	"0.155"	"0.266"	"0.028"
""	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"
"(Intercept)"	"1.104*"	"17.959***"	"73.005***"	"197.616***"	"406.634**"	"-5.627"
""	"0.597"	"4.196"	"17.433"	"60.78"	"169.286"	"53.076"
"index"	"-0.03*"	"-0.419***"	"-0.032"	"1.27"	"24.05**"	"2.643"
""	"0.016"	"0.101"	"0.662"	"2.162"	"9.632"	"1.766"
"cgdpo"	"0.026***"	"0.069***"	"0.161***"	"0.32***"	"1.161***"	"0.081***"
""	"0.003"	"0.007"	"0.02"	"0.054"	"0.352"	"0.006"
"pop"	"-0.03***"	"-0.089***"	"-0.101"	"-0.215"	"0.855"	"-0.115*"
""	"0.005"	"0.012"	"0.072"	"0.204"	"1.7"	"0.062"
"r1"	"0.027"	"0.059"	"0.108"	"0.15"	"0.258"	"0.027"
""	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"
"(Intercept)"	"1.003"	"19.778***"	"99.011***"	"251.64***"	"783.248***"	"14.846"
""	"0.657"	"4.934"	"19.49"	"54.292"	"274.507"	"50.802"
"index"	"-0.037"	"-0.613***"	"-1.126"	"-0.661"	"18.239"	"2.88"
""	"0.023"	"0.154"	"1.006"	"2.585"	"14.181"	"2.285"
"cgdpo"	"0.026***"	"0.069***"	"0.161***"	"0.317***"	"1.162***"	"0.082***"
""	"0.003"	"0.007"	"0.021"	"0.057"	"0.36"	"0.006"
"pop"	"-0.03***"	"-0.095***"	"-0.144*"	"-0.214"	"0.801"	"-0.116*"
""	"0.005"	"0.014"	"0.08"	"0.212"	"1.766"	"0.065"
"r1"	"0.027"	"0.058"	"0.105"	"0.143"	"0.248"	"0.027"
""	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"
"(Intercept)"	"-2.498***"	"-7.689***"	"-26.19***"	"-46.027***"	"-204.197***"	"-134.651**"
""	"0.358"	"1.219"	"4.452"	"15.056"	"46.507"	"56.97"
"index"	"-0.013"	"0.041*"	"0.552**"	"4.41***"	"37.345***"	"3.92***"
""	"0.008"	"0.024"	"0.269"	"1.043"	"8.727"	"1.477"
"gdp_percapita"	"2.626***"	"8.016***"	"29.576***"	"52.454***"	"197.189***"	"15.494***"
""	"0.21"	"0.716"	"2.076"	"6.611"	"43.915"	"1.361"
"r1"	"0.012"	"0.034"	"0.079"	"0.11"	"0.154"	"0.016"
""	"koppen"	"koppen"	"koppen"	"koppen"	"koppen"	"koppen"
"(Intercept)"	"1.072***"	"7.611***"	"38.233***"	"49.707"	"29.05"	"-11.567"
""	"0.368"	"2.299"	"13.991"	"35.52"	"102.496"	"89.707"
"index"	"-0.03***"	"-0.161***"	"-0.172"	"2.435*"	"17.934***"	"1.552"
""	"0.008"	"0.044"	"0.415"	"1.249"	"5.656"	"2.31"
"cgdpo"	"0.023***"	"0.058***"	"0.136***"	"0.266***"	"1.232***"	"0.073***"
""	"0.002"	"0.008"	"0.014"	"0.04"	"0.245"	"0.005"
"arid"	"-0.331"	"-3.528"	"5.291"	"48.882"	"231.256"	"46.899"
