"";"70th";"80th";"90th";"95th";"99th";"OLS"
"t_tropical";"-0.03***";"-0.161***";"-0.172";"2.435*";"17.934***";"1.552"
"";"0.008";"0.043";"0.416";"1.282";"5.816";"1.143"
"t_arid";"-0.023***";"-0.098";"-0.812";"-0.126";"20.087";"-0.914"
"";" 0.008";" 0.064";" 0.522";" 3.296";"22.002";"1.385"
"t_temperate";"0.008";"0.557**";"4.996***";"13.806***";"46.495***";"4.643***"
"";" 0.027";" 0.277";" 1.105";" 3.041";"15.799";"1.423"
"t_cold";"-0.026";"0.702";"4.309**";"8.419**";"2.61";"3.445"
"";" 0.103";" 0.763";" 2.065";" 4.257";"35.927";"3.801"
"t_polar";"0.012";"-0.013";"-0.034";"0.137";"145.023*";"12.536"
"";" 0.077";" 0.570";" 0.453";"32.915";"77.077";"16.612"
"cgdpo";"0.023***";"0.058***";"0.136***";"0.266***";"1.232***";"0.073***"
"";"0.002";"0.008";"0.015";"0.041";"0.232";"0.014"
"fit_quality";"0.026";"0.058";"0.117";"0.163";"0.277";"0.027"
